BusID,RouteType,TimeStep,SoC,Voltage,Current,Temperature,CycleCount,AhThroughput,CalendarAge,Capacity,SoH,AvgDoD,Speed,Passengers,IsCharging,IsRegenerating
Bus-001,CITY_CENTER,68,0.8713212,358.49854,13.033533,25.930122,0.22664139,185.02544,0.047222264,300.0,100.0,0.3057014,21.0,46,false,true
Bus-001,CITY_CENTER,69,0.876135,358.57816,-63.36978,25.9478,0.23145518,189.05284,0.04791671,300.0,100.0,0.32326922,21.0,45,false,true
Bus-001,CITY_CENTER,70,0.8809329,358.8188,-116.564514,25.965319,0.2362531,193.06427,0.048611157,300.0,100.0,0.33892146,0.0,45,false,false
Bus-001,CITY_CENTER,71,0.8809329,359.04663,-81.59516,25.963524,0.2362531,193.06427,0.049305603,300.0,100.0,0.33892146,0.0,44,false,false
Bus-001,CITY_CENTER,72,0.8809329,359.04663,-57.11661,25.961733,0.2362531,193.06427,0.05000005,300.0,100.0,0.33892146,15.0,44,false,false
Bus-001,CITY_CENTER,73,0.87419933,359.02975,61.29532,25.997934,0.2429867,198.69077,0.050694495,300.0,100.0,0.33892146,15.0,43,false,false
Bus-001,CITY_CENTER,74,0.86722094,358.69244,147.96463,26.037016,0.24996512,204.52731,0.05138894,300.0,100.0,0.33892146,30.0,42,false,false
Bus-001,CITY_CENTER,75,0.8671368,358.36084,104.8437,26.035215,0.2500493,204.59778,0.052083388,300.0,100.0,0.33892146,30.0,42,false,false
Bus-001,CITY_CENTER,76,0.86635906,358.3549,85.11003,26.03392,0.250827,205.24886,0.052777834,300.0,100.0,0.33892146,30.0,41,false,false
Bus-001,CITY_CENTER,77,0.8648748,358.31424,81.9461,26.033974,0.2523113,206.49158,0.05347228,300.0,100.0,0.33892146,30.0,41,false,false
Bus-001,CITY_CENTER,78,0.86270833,358.2383,90.01912,26.036125,0.25447777,208.30585,0.054166727,300.0,100.0,0.33892146,21.0,40,false,true
